"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL43128";"PRIMAQUINE PHOSPHATE";"MALQUINE|NSC-149765|PRIMACHINE PHOSPHATE|PRIMAQUINE DIPHOSPHATE|PRIMAQUINE PHOSPHATE|PRIMAQUINI DIPHOSPHAS|Primaquine|Primaquine Phosphate|WR 2975";"Small molecule";"4.0";"455.34";"38";"98";"2.78";"60.17";"4";"2";"0";"6";"N";"0.84";"None";"10.20";"1.64";"-0.96";"2";"MOL";"0";"19";"4";"3";"0";"259.1685";"-0.43";"BASE";"C15H27N3O9P2";"COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O";"GJOHLWZHWQUKAU-UHFFFAOYSA-N"
"CHEMBL85";"RISPERIDONE";"LY-03004|LY03004|N05AX08|NSC-759895|PERSERIS|PERSERIS KIT|R 64 766|R-64,766|R-64-766|R-64766|RCN-3028|RCN3028|RISPERDAL CONSTA|RISPERDAL QUICKLET|RISPERIDONE|Risperdal|Risperdal Consta Long Acting|Risperdal M|Risperdal M-TAB";"Small molecule";"4.0";"410.49";"214";"1366";"3.59";"64.16";"6";"0";"0";"4";"N";"0.66";"None";"8.76";"2.63";"1.25";"3";"MOL";"0";"30";"6";"0";"0";"410.2118";"-1.47";"BASE";"C23H27FN4O2";"Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2";"RAPZEAPATHNIPO-UHFFFAOYSA-N"
"CHEMBL2108350";"CONESTAT ALFA";"C1 ESTERASE INHIBITOR|COMPLEMENT C1 ESTERASE INHIBITOR|CONESTAT ALFA|RECOMBINANT HUMAN C1 INHIBITOR|RECOMBINANT HUMAN C1-INHIBITOR|RHUCIN|RUCONEST";"Protein";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2108667";"YTTRIUM Y 90 IBRITUMOMAB TIUXETAN";"(90)Y-IBRITUMOMAB TIUXETAN|90Y IBRITUMOMAB TIUXETAN|90Y-IBRITUMOMAB|BAY-86-5128|IBRITUMOMAB TIUXETAN|IBRITUMOMAB TIUXETAN Y-90|IBRITUMOMAB TIUXETAN YTTRIUM Y-90|YTTRIUM Y 90 IBRITUMOMAB TIUXETAN|YTTRIUM Y-90 IBRITUMOMAB TIUXETAN";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2108709";"COLLAGENASE CLOSTRIDIUM HISTOLYTICUM";"AA-4500|AA4500|CLOSTRIDIAL COLLAGENASE|CLOSTRIDIUM HISTOLYTICUM ENZYMES|COLLAGENASE|COLLAGENASE (CLOSTRIDIUM HISTOLYTICUM)|COLLAGENASE CLOSTRIDIUM HISTOLYTICUM|CORDASE|IRUXOL|MZ-004|PLAQUASE|SANTYL|Xiaflex";"Enzyme";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4297573";"TAGRAXOFUSP";"DT-3881L3|DT388IL3|Elzonris|MOLECULE-129|Molecule 129|SL-401|TAGRAXOFUSP|TAGRAXOFUSP ERZS|TAGRAXOFUSP-ERZS";"Protein";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4297984";"NAXITAMAB";"Danyelza|HU3F8|HUMANIZED 3F8|Hu3F8|MONOCLONAL ANTIBODY HU3F8|NAXITAMAB|NAXITAMAB GQGK|NAXITAMAB-GQGK";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1200406";"DIMENHYDRINATE";"ANTEMIN|CHLORANAUTINE|DIMENHYDRINATE|Dramamine|NSC-117855|VERTIGO-VOMEX S";"Small molecule";"4.0";"469.97";"122";"706";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"469.1881";"None";"None";"C24H28ClN5O3";"CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O";"NFLLKCVHYJRNRH-UHFFFAOYSA-N"
"CHEMBL1009";"LEVODOPA";"BROCADOPA|Bendopa|CVT-301|Dopar|INBRIJA|LEVODOPA|LEVODOPUM|Larodopa|NSC-118381|V-1512";"Small molecule";"4.0";"197.19";"212";"1150";"0.05";"103.78";"4";"4";"0";"3";"N";"0.51";"1.65";"9.06";"-1.79";"-1.80";"1";"MOL";"0";"14";"5";"5";"0";"197.0688";"1.19";"ZWITTERION";"C9H11NO4";"N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O";"WTDRDQBEARUVNC-LURJTMIESA-N"
"CHEMBL64";"ISONIAZID";"ARMAZID|ARMAZIDE|ATCOTIBINE|CEDIN|COTINAZIN|DIANICOTYL|DOW-ISONIAZID|ERALON|ERTUBAN|HIDRASONIL|HYDRAZID|HYZYD|IPCAZIDE|ISCOTIN|ISIDRINA|ISOBICINA|ISONIAZID|ISONIAZIDUM|ISONICOTAN|ISONICOTINYLHYDRAZINE|Isoniazid|LANIAZID|MYBASAN|NEUMANDIN|NICOTIBINE|NSC-9659|Nydrazid|RIMIFON|STANOZIDE|TEEBACONIN|TISIODRAZIDA";"Small molecule";"4.0";"137.14";"275";"6329";"-0.31";"68.01";"3";"2";"0";"1";"N";"0.32";"13.61";"3.35";"-0.69";"-0.69";"1";"MOL";"0";"10";"4";"3";"0";"137.0589";"-1.62";"NEUTRAL";"C6H7N3O";"NNC(=O)c1ccncc1";"QRXWMOHMRWLFEY-UHFFFAOYSA-N"
"CHEMBL385517";"SAXAGLIPTIN";"BMS-477118|BMS-477118-11|SAXAGLIPTIN";"Small molecule";"4.0";"315.42";"28";"121";"1.16";"90.35";"4";"2";"0";"2";"N";"0.80";"None";"7.90";"-0.08";"-0.70";"0";"MOL";"0";"23";"5";"3";"0";"315.1947";"0.17";"NEUTRAL";"C18H25N3O2";"N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2";"QGJUIPDUBHWZPV-SGTAVMJGSA-N"
"CHEMBL117287";"PRUCALOPRIDE";"PRUCALOPRIDE|R-093877|R093877|RESOLOR";"Small molecule";"4.0";"367.88";"36";"1075";"2.09";"76.82";"5";"2";"0";"6";"N";"0.59";"None";"8.98";"0.74";"-0.84";"1";"MOL";"0";"25";"6";"3";"0";"367.1663";"-1.22";"BASE";"C18H26ClN3O3";"COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1";"ZPMNHBXQOOVQJL-UHFFFAOYSA-N"
"CHEMBL447";"SECOBARBITAL";"(RS)-SECOBARBITAL|EVRONAL|HYPOTROL|IMMENOX|MEBALLYMAL|QUINALBARBITAL|SECOBARBITAL|SECOBARBITAL CII|SECOBARBITAL SODIUM FREE ACID|SECOBARBITONE|SOMATARAX|Secobarbital|Seconal";"Small molecule";"4.0";"238.29";"116";"705";"1.35";"75.27";"3";"2";"0";"5";"N";"0.56";"7.48";"None";"2.03";"1.77";"0";"MOL";"0";"17";"5";"2";"0";"238.1317";"0.55";"NEUTRAL";"C12H18N2O3";"C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O";"KQPKPCNLIDLUMF-UHFFFAOYSA-N"
